HS4,direction,mass,year
7319,export,299101.0,2005
7319,export,234463.0,2006
7319,export,398062.0,2007
7319,export,378994.0,2008
7319,export,298497.0,2009
7319,export,271610.0,2010
7319,export,186004.0,2011
7319,export,137078.0,2012
7319,export,184090.0,2013
7319,export,300406.0,2014
7319,export,216845.0,2015
7319,export,210722.0,2016
7319,export,306568.0,2017
7319,import,414015.0,1996
7319,import,532918.0,1997
7319,import,409320.0,1998
7319,import,561424.0,1999
7319,import,625418.0,2000
7319,import,783441.0,2001
7319,import,738407.0,2002
7319,import,682878.0,2003
7319,import,647830.0,2004
7319,import,624504.0,2005
7319,import,650027.0,2006
7319,import,607365.0,2007
7319,import,621895.0,2008
7319,import,674964.0,2009
7319,import,1617011.0,2010
7319,import,916160.0,2011
7319,import,562517.0,2012
7319,import,482483.0,2013
7319,import,618103.0,2014
7319,import,484635.0,2015
7319,import,475157.0,2016
7319,import,519208.0,2017
7320,export,20268432.0,1996
7320,export,24610419.0,1997
7320,export,25130498.0,1998
7320,export,23390211.0,1999
7320,export,27715931.0,2000
7320,export,25726728.0,2001
7320,export,24756230.0,2002
7320,export,25332390.0,2003
7320,export,28342044.0,2004
7320,export,25589861.0,2005
7320,export,25573935.0,2006
7320,export,21871018.0,2007
7320,export,18058432.0,2008
7320,export,11873306.0,2009
7320,export,18748316.0,2010
7320,export,22859857.0,2011
7320,export,18554578.0,2012
7320,export,19327468.0,2013
7320,export,21610833.0,2014
7320,export,21692463.0,2015
7320,export,19123962.0,2016
7320,export,17276978.0,2017
7320,import,15508363.0,1996
7320,import,14458287.0,1997
7320,import,16688462.0,1998
7320,import,21468728.0,1999
7320,import,26236178.0,2000
7320,import,22399395.0,2001
7320,import,38225261.0,2002
7320,import,39767512.0,2003
7320,import,46065161.0,2004
7320,import,54846073.0,2005
7320,import,58057340.0,2006
7320,import,53548128.0,2007
7320,import,43893942.0,2008
7320,import,40915025.0,2009
7320,import,49928635.0,2010
7320,import,55252857.0,2011
7320,import,59002204.0,2012
7320,import,68370876.0,2013
7320,import,78726787.0,2014
7320,import,67508325.0,2015
7320,import,76350422.0,2016
7320,import,81384002.0,2017
7321,export,8096206.0,1996
7321,export,7690803.0,1997
7321,export,7605679.0,1998
7321,export,7043625.0,1999
7321,export,7127341.0,2000
7321,export,6733743.0,2001
7321,export,9937252.0,2002
7321,export,9953752.0,2003
7321,export,10349386.0,2004
7321,export,10008589.0,2005
7321,export,9683921.0,2006
7321,export,9855541.0,2007
7321,export,10317544.0,2008
7321,export,8850862.0,2009
7321,export,9813789.0,2010
7321,export,11745853.0,2011
7321,export,11399466.0,2012
7321,export,12721555.0,2013
7321,export,14631830.0,2014
7321,export,15293208.0,2015
7321,export,13552345.0,2016
7321,export,11294112.0,2017
7321,import,25621742.0,1996
7321,import,27590930.0,1997
7321,import,35043628.0,1998
7321,import,39622503.0,1999
7321,import,52498384.0,2000
7321,import,54748296.0,2001
7321,import,68222617.0,2002
7321,import,75942904.0,2003
7321,import,89610227.0,2004
7321,import,87513574.0,2005
7321,import,82643904.0,2006
7321,import,90054578.0,2007
7321,import,84549817.0,2008
7321,import,78226632.0,2009
7321,import,84898698.0,2010
7321,import,90447291.0,2011
7321,import,81892673.0,2012
7321,import,86312722.0,2013
7321,import,97825047.0,2014
7321,import,90000386.0,2015
7321,import,102204142.0,2016
7321,import,87489591.0,2017
7322,export,22069261.0,1996
7322,export,21784366.0,1997
7322,export,13838532.0,1998
7322,export,17304869.0,1999
7322,export,16741196.0,2000
7322,export,15301048.0,2001
7322,export,13989743.0,2002
7322,export,15600448.0,2003
7322,export,17623141.0,2004
7322,export,22968291.0,2005
7322,export,27674757.0,2006
7322,export,36418276.0,2007
7322,export,37253340.0,2008
7322,export,23834556.0,2009
7322,export,23611581.0,2010
7322,export,23426903.0,2011
7322,export,20867591.0,2012
7322,export,21676362.0,2013
7322,export,22998497.0,2014
7322,export,23016021.0,2015
7322,export,22439918.0,2016
7322,export,23552249.0,2017
7322,import,41402178.0,1996
7322,import,46198706.0,1997
7322,import,52150270.0,1998
7322,import,70203767.0,1999
7322,import,72556600.0,2000
7322,import,90568914.0,2001
7322,import,113575656.0,2002
7322,import,125274907.0,2003
7322,import,147337455.0,2004
7322,import,132633672.0,2005
7322,import,153428044.0,2006
7322,import,144854906.0,2007
7322,import,123764452.0,2008
7322,import,110311053.0,2009
7322,import,118666740.0,2010
7322,import,115109361.0,2011
7322,import,106099709.0,2012
7322,import,112158060.0,2013
7322,import,107734590.0,2014
7322,import,115232240.0,2015
7322,import,110921961.0,2016
7322,import,116412996.0,2017
7323,export,6553698.0,1996
7323,export,11232007.0,1997
7323,export,6991668.0,1998
7323,export,12034136.0,1999
7323,export,8229217.0,2000
7323,export,6940088.0,2001
7323,export,6584769.0,2002
7323,export,8240844.0,2003
7323,export,11452324.0,2004
7323,export,20391025.0,2005
7323,export,14609434.0,2006
7323,export,13212391.0,2007
7323,export,9625202.0,2008
7323,export,6279420.0,2009
7323,export,7144050.0,2010
7323,export,13381629.0,2011
7323,export,11206040.0,2012
7323,export,11473156.0,2013
7323,export,10658142.0,2014
7323,export,9650466.0,2015
7323,export,10582104.0,2016
7323,export,11451975.0,2017
7323,import,38946189.0,1996
7323,import,48104963.0,1997
7323,import,48931758.0,1998
7323,import,59588714.0,1999
7323,import,53613233.0,2000
7323,import,59352111.0,2001
7323,import,73130532.0,2002
7323,import,79264865.0,2003
7323,import,86573945.0,2004
7323,import,90794697.0,2005
7323,import,96463905.0,2006
7323,import,104200711.0,2007
7323,import,100546997.0,2008
7323,import,81120675.0,2009
7323,import,86127801.0,2010
7323,import,81595987.0,2011
7323,import,80594904.0,2012
7323,import,84240939.0,2013
7323,import,90336758.0,2014
7323,import,88797942.0,2015
7323,import,92509265.0,2016
7323,import,89185602.0,2017
7324,export,3891945.0,1996
7324,export,3823665.0,1997
7324,export,3836871.0,1998
